 * Serving Flask app 'web_controller.py' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://31.220.21.151:8080/ (Press CTRL+C to quit)
186.105.53.192 - - [04/Oct/2021 02:06:35] "POST / HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:35] "GET /static/translation.svg HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:39] "POST / HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:40] "GET /static/translation.svg HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:50] "POST / HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:50] "GET /static/translation.svg HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:54] "POST / HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:54] "GET /static/translation.svg HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:57] "POST / HTTP/1.1" 200 -
186.105.53.192 - - [04/Oct/2021 02:06:58] "GET /static/translation.svg HTTP/1.1" 200 -
